
<h3>第517章 稀世神器落河弓</h3>

　　巫神女连护住自己都困难吗！？<br />
　　这是什么意思？<br />
　　叶凡一时有些恍不过神来，下意识的问道：<br />
　　“难道血鸦宗两兄弟不怕你吗？”<br />
　　“怕？”<br />
　　巫神女苦笑道：“上一代巫神女，即我的师傅，就是死在他们兄弟手上，你说他们会怕我吗？”<br />
　　“……”<br />
　　叶凡懵住，没料到会是这种情况，看来，完全不像外人说的那样。<br />
　　“怎么回事？”<br />
　　不知戳到了巫神女心中的痛处，还是其他原因，巫神女说出了实情：<br />
　　“两兄弟为争夺宗主之位，已变得人面兽心，但两人的实力都相差无几，所以谁都拿不下对方，于是，两人把主意打到我师傅身上，只要我师傅站在其中一边，那就相当于承认了其宗主地位。<br />
　　但师傅也搞不清楚当年到底是谁弄出第二只血鸦王，因此，没法支持谁，再者，巫师的使命守则中，明确约束了，不能参与权力斗争，所以，更不可能参与两人争权谋位的恶斗中。<br />
　　正因为这些原因，我师傅一直站在两个阵营之外，久而久之，招来两兄弟恨意，两兄弟暗中勾结，商定剔除大巫师这一块。<br />
　　随后，假借调解，把师傅引入陷阱，逼师傅交出血鸦宗的世代相传镇宗之宝，师傅没有答应，结果，活生生被两兄弟折磨至死。”<br />
　　说到这里，巫神女眼中泛起泪花，又夹杂着一股刻骨铭心的恨意。<br />
　　叶凡眉头微皱，问道：“那他们没有对付你，是因为镇宗之宝吗？”<br />
　　“是的，师傅死后，我是唯一一个知道镇宗之宝在哪的人，我如果死了，那他们永远也别想得到，所以，他们一直不敢逼我，但日子一长，两兄弟越来越没耐心，两人现在对我都是蠢蠢欲动，随时都有可能对我动手，所以，我的处境都这样了，又如何护你们。”<br />
　　叶凡恍然，如此看来，处境危险了。<br />
　　本以为真像蛮牛寨寨民说的那样：两兄弟都畏惧巫神女，所以才跑到巫神女这里来转一圈，结果，只怕是跳到火坑里了。<br />
　　而且，叶凡有种强烈的感觉，两兄弟极有可能会借着这个机会，拿娄小玉开刀，胁迫巫神女。<br />
　　不妙啊！<br />
　　叶凡心情一下子凝重了，如果没有那些数量恐怖的血鸦，那可以想办法脱身，但那些血鸦……光想想就毛骨悚然。<br />
　　先撇开这些思绪，叶凡认真问道：“你说的那件镇宗之宝，是不是对两兄弟很重要？”<br />
　　“嗯，非常重要，谁如果得到了，既可以以此正名宗主的身份，也可以用它射杀对方的血鸦王，血鸦王一死，那对方的血鸦即会倒戈，那样，灭对方即像捏死一只蚂蚁一样。”<br />
　　叶凡微惊：“照你这么说，这件镇宗之宝是血鸦王的克星吗？”<br />
　　“是的，开派祖师爷当初就担心血鸦的危害，所以以防万一，穷毕生之力找到了这件镇宗之宝。”<br />
　　“到底是什么宝贝？”叶凡满脸好奇。<br />
　　“告诉你也无妨，弓，落河弓，稀世神器。”<br />
　　落河弓，稀世神器，乖乖，听着这四个字，一种磅礴气势扑面而来！<br />
　　“既然落河弓这么牛叉，那你可以用它把两只血鸦王干掉啊，然后让两兄弟拼个你死我活，到时，你也就脱身了。”<br />
　　巫神女横了叶凡一眼：“你以为那么容易啊，修为不达到域境，则无法发挥出落河弓的妙用。两兄弟正是因为修为还没到域境，所以才忍着，因为拿到落河弓也用不了。但现在两兄弟都在想尽办法提升自己的修为，一旦谁先突破，绝对就会动手了。”<br />
　　原来如此。<br />
　　叶凡嘿嘿一笑，坏笑道：“我俩关系这么好，不如，你给我看看吧，我长这么大，还没见过稀世珍宝，让我也开开眼界。”<br />
　　“……”<br />
　　巫神女一阵无语，当没听到。<br />
　　好吧，叶凡只好收起这种心思，转而说道：<br />
　　“既然两兄弟都对你不仁不义，那你没必要呆这里了，不如跟我们一起走吧。”<br />
　　“怎么走？你是不知道吧，现在我被两兄弟的人马二十四小时监视着，想要出去，哪怕长了翅膀，也逃不出血鸦的攻杀。”<br />
　　艹！<br />
　　叶凡暗骂了一声：“意思是说，我们现在要出去，外面也是刀山火海。”<br />
　　“嗯，差不多，所以，我劝你们赶紧离开，或许两兄弟现在还没起杀你们的心思。”<br />
　　“那你呢？”<br />
　　“我？当然是呆在这里，成为巫神女的那一天起，我的命运就已经注定了。”巫神女淡淡笑道。<br />
　　虽然笑容平静，但叶凡从她这笑容中，看到一份无奈，或者说，看到一份对命运的屈从和无力反抗。<br />
　　这让叶凡微微有些不爽，因为他一直是不信命运的人，他从小丧失双亲，对这种命运，有一种很强烈的抵触，所以，越是加上“命运”两个字的困难和挫折，叶凡越是不放弃，越是要反抗。<br />
　　现在，他不其然的又生起这种情绪，更何况，巫神女正是花开绽放的年龄，凭什么把自己的人生葬送在两个人面兽心的兄弟手上。<br />
　　沉默，思索，分析形势，想找出一条破开局面的路……<br />
　　最主要是那群血鸦，如果能摆平它们，局面就好掌握了。<br />
　　怎么摆平它们？<br />
　　“难道凭你所掌握的毒术，都对付不了血鸦吗？”叶凡问道。<br />
　　“没用，我会的毒术，两兄弟都会。”<br />
　　又是一阵沉默，忽然，叶凡想起一事，疑惑问道：<br />
　　“那当年，血鸦宗是怎么败在万毒门手上的？”<br />
　　“据资料记载，万毒门用了几味稀世毒药对付血鸦，所以血鸦宗才全线溃败。”<br />
　　稀世毒药！？<br />
　　叶凡两眼冒起亮光，陈沐沐手中不就有两味稀世毒药的配方吗！？<br />
　　啊哈！<br />
　　叶凡心中大喜，忙把陈沐沐叫了进来。<br />
　　陈沐沐满脸不解进了屋。<br />
　　叶凡立即把当前的局势跟她讲了一遍。<br />
　　听完后，陈沐沐意识到情况的危险了，犹豫了一下以后，把两味毒药的配方交给了巫神女。<br />
　　巫神女接过配方，认真看了一会儿，眼看着眉头越拧越紧，似乎在思索……<br />
　　忽然，她惊骇叫道：“万毒门，你们是万毒门的人！”<br />
