
<h3>第81章 我老婆有钱</h3>

　　是许雯雯，她怎么来了？<br />
　　她正坐在沙发上，一头时尚短发，无比精致的脸蛋，穿一件心型领口的黑色短裙，黑色丝袜……乖乖，两条腿交错搭着，匀称、修长，极尽诱惑。<br />
　　此刻，她托着下巴，似乎在想什么，有些走神。<br />
　　像以往，叶凡每次见到她时，都感觉她像田园上的一朵野菊花，惊艳，且活力四射，而现在，安静坐在那里的她，像一只黑天鹅，优雅而高贵。<br />
　　没料到这女人还能驾驭这种气质，想必很多男人都拜倒在她这种魅力下吧。<br />
　　叶凡嘴角微翘，悄悄走到她身后，趴在沙发背檐上，语气飘摇道：“雯姐，想得这么入神，是在想我吗？”<br />
　　许雯雯脸色一僵，连忙挪远一点，冷冷盯着叶凡看了一阵后，忽然俏娇笑道：“是啊，才两三天不见你，心慌慌的。”<br />
　　“哈哈哈，可惜我一点都不想你。”<br />
　　“……”<br />
　　许雯雯被呛得眉头直跳，本来她是想顺着叶凡的话逗叶凡玩玩，哪知道这家伙来了一个神转折，特别是叶凡现在的样子，叉着腰，笑得满脸开花，别提有多得瑟了。<br />
　　沈韵脸色立即冷了下来，反击道：“好像我稀罕你想我一样，别怪我打击你，就你这种条件，我随便一抓，就是一大把，而且，有房，有车，有公司，你呢，出门就要坐公交或者打的吧。”<br />
　　我艹，这招狠！<br />
　　不过，叶凡这犊子神经粗大无比，完全没把许雯雯的嘲讽当一回事，且还没脸没皮吹牛道：“我没钱不要紧，但我老婆有钱啊。”<br />
　　老婆！？<br />
　　许雯雯一时没恍过神，愣愣望着叶凡。<br />
　　叶凡解释道：“就是你的闺蜜，韵姐。”<br />
　　“……”<br />
　　韵姐啥时候成他老婆了，我咋不知道！？<br />
　　正巧沈韵从厨房出来，听到了这番话，气得两眼一黑。<br />
　　二话不说，她顺手拎过一把扫帚，咣咣扑向叶凡。<br />
　　瞬间，屋内鸡飞狗跳，热闹非凡，其间充斥着沈韵的喝骂声，叶凡的怪笑声，以及许雯雯和韩果幸灾乐祸的助威声……<br />
　　六点多的时候，饭菜上桌，四人在桌边坐下。<br />
　　每到吃饭的时候，基本上就是叶凡最安静的时候，因为他的注意力全挪到饭菜上了。<br />
　　沈韵和许雯雯聊着各自忧心的事。<br />
　　沈韵是为了店面的事忧心，虽然后来高强陪了钱，但那场火让她产生了心里阴影，导致她现在老想着是不是跟上次那个找上门来的刘总合伙，虽然钱肯定会赚得少些，但风险也相应的会少一些。<br />
　　对于她这种想法，叶凡和许雯雯一直表示反对，道理也说了不少，但似乎并没有说服沈韵。<br />
　　而许雯雯忧心的事是：前天，她一个远房表舅找到了她，说有一个业务要和她合作，一番沟通后，获知远房表舅有一笔账要不回来，想请许雯雯出马。<br />
　　要账，本来就是许雯雯公司业务中一大版块。<br />
　　可别以为许雯雯公司真的只是给客户提供私人保镖，那只是一个名头，赚不了多少钱。<br />
　　真正赚钱的是许雯雯给客户提供人马解决各种难题，如要账就是其中之一。<br />
　　这种业务找上门时，直接谈几几分成，若是成功要回来，那无异于分得一块肥肉，即便要不回来，许雯雯也没什么损失。<br />
　　那，许雯雯凭哪种神通要回别人要不回的钱？<br />
　　凭的是她在别人耳朵里的名声，一是外界都说她和省城豪爷关系好，一传十，十传百，不好也好了。<br />
