<h3>第257章 处处有坑</h3>
　　“醒！”<br />
　　随着这个字，陈大伟突然睁开了眼睛。<br />
　　随即，他一声惨叫，抱着脑袋蹲在了地上。<br />
　　叶凡惊讶望向蓝蕊。<br />
　　蓝蕊小声道：“没事，正常反应，过一会儿就平静了。”<br />
　　三分多钟后，陈大伟平静了。<br />
　　他浑身是汗，眼神慌乱的四处乱扫。<br />
　　明显看得出来，他的眼神中充斥着害怕，以及迷茫。<br />
　　“怎么样，现在想起来了吗？”叶飞询问道。<br />
　　“嗯。”<br />
　　随后，陈大伟说起了他的遭遇。<br />
　　陈大伟原来是一个武馆的学徒，有一次，一个同行告诉他，有家公司专门培训高级保镖，毕业后可以安排薪酬丰厚的私人保镖工作。<br />
　　他心动了，跟着朋友一起去了那家公司。<br />
　　随后，这家公司把他和其他一批人带到了一个神秘的训练场，每天进行高强度的体能训练，当达到他们的要求以后，他们拿出一种药物，说是强力丸，吃了后，可以在短时间内增加力量和速度，而且，没有任何副作用。<br />
　　效果也真的是这样，只要一吃下强力丸，立马会感觉身上有使不完的力量，速度也会比平常快上一筹。<br />
　　这事以后，所有人被分开，进行高强度的精神训练，实际上就是催眠术，日以继夜的训练，不断的改变受训者的思维，直到完全成为他们手中的工具。<br />
　　再后来，他就被分配到了阳生门，像一具机器一样，只遵命令，以及执行任务。<br />
　　听陈大伟讲完后，叶凡和蓝蕊暗暗心惊，像蓝蕊之前就对叶凡说过，欧阳永生的目的就是调和鬼藤溶液后，用来组建一支杀伤力恐怖的魔鬼队伍。<br />
　　照陈大伟刚说的情况来看，这种药物似乎已经研制出来了，且还配备了系统的精神控制，像陈大伟明显就是这种药物下的产物……<br />
　　情况不妙啊！<br />
　　“知道训练你们的地方在哪里吗？”叶凡问道。<br />
　　“不知道。”陈大伟摇头道：“我们每次进出都戴头罩，整个训练过程全各程封闭，根本就没法知道在哪里。”<br />
　　“那阳生门的根据地呢？”<br />
　　“阳生门没有根据地，实际上就是那训练场。”<br />
　　想了想，叶凡又问道：“你们是不是被称为鬼士。”<br />
　　“嗯，是的，我就是鬼士系列，每个鬼士都有编号。”<br />
　　叶凡眉头微皱，追问道：“难道还有其他系列吗？”<br />
　　“有，根据体质和能力划分的，像有些体质好的，或者以前修炼过内气功法的，他们服用强力丸以后，效果会更突出一些，这类称为鬼兵，他们一般可以对付三四个鬼士，再往上就是鬼官，他们服用强力丸以后，可以轻轻松松的对付十个鬼士。”<br />
　　“……”<br />
　　叶凡嘴角抽了抽，好半响都说不出话来。<br />
　　只因为，他先前见过陈大伟的实力，完胜莫默，而陈大伟还只是一个鬼士，那照陈大伟这说法，岂不是一个鬼官可以轻轻松松的摆平十个莫默。<br />
　　能不惊讶吗，要知道莫默可是真龙阁这两年来招收到的最优秀的后起之秀，哦，应该说是本省内招收到的最优秀的后起之秀。<br />
　　叶凡意识到这情况很危险，必须尽早扼杀和铲除。<br />
　　所以，随后他立即给李军长打了一个电话，把自己了解到的情况告诉了对方。<br />
　　李军长又立马把情况反应到了相关渠道。<br />
　　没多久，李军长回电话过来了，告诉叶凡，已有相关部门接手这事。<br />
　　叶凡好奇问道：“哪个部门？”<br />
　　“特情处理部门安排下去的，应该是真龙阁。”<br />
　　“……”<br />
　　叶凡一阵无语。<br />
　　说实在的，他现在对真龙阁真的有些看法了，而且，真龙阁能办好这事吗！？<br />
　　权且这样吧！<br />
　　随后，叶凡、蓝蕊和陈大伟商量好了一件事，就是陈大伟作活标本，供蓝蕊进行各项研究。<br />
　　回头一想，蓝蕊的老爸蓝巫被逼研究出了强力丸，而蓝蕊则在背后研究破解方法，真是因果循环啊。<br />
　　另一边，结伴而行的沈韵、许雯雯和韩果三人已经到了家具生产厂家，现在正在和厂长交涉。<br />
　　“刘厂长，你还是安排人带我们看一下产品吧。”沈韵说道。<br />
　　刘厂长叫刘全，正躺尸在办公椅里。<br />
　　形容为躺尸，实在是因为他的坐姿太难看了，再加上他身材臃肿，越发像躺尸。<br />
　　沈韵三人自然很不喜欢他这副鬼相，而且，沈韵和许雯雯感觉到事情有些不对劲了，因为上次和刘全见面谈生意的时候，他举止大度，有礼有节，哪像现在这个样子。<br />
　　刘厂长约五十来岁的样子，五短身材，秃顶，一脸笑容，笑得像一个弥勒佛一样，光看这笑容还是挺不错的，有些差评的是脸上有些坑洼，再者脑袋冒油的缘故，看着有些油腻。<br />
　　此时，他回话道：“沈总，你怎么这么不相信我们呢，我刚说了，你们要的产品已经生产出来了，都已经进入货运流程了，过两天就会发货，你们回去安心等着，保证会让你们满意的。”<br />
　　沈韵不信他这套说辞，坚持要看产品。<br />
　　刘全拗不过，当即带着三人去生产厂房看产品。<br />
　　生产厂房在郊区，开车花了三十多分钟才到。<br />
　　才进厂房，立即听到了生产机器的轰鸣声，看来生意做得不错。<br />
