

<h3>第349章 没得选择</h3>
　　一扬手，即扣住对方手腕，再一抖手，即生生扯断对方手臂……<br />
　　这要怎样的速度和力量！？<br />
　　那鬼官凄厉一声惨叫，断臂处的鲜血如井喷一样往外狂洒。<br />
　　而星辰阁为首那人甩掉断臂，身形突进，一掌印在鬼官的胸口。<br />
　　“咔咔嚓！”<br />
　　大伙清晰听到了胸骨碎裂的声音！<br />
　　那鬼官连惨叫的机会都没有了，一口鲜血喷出，整个人直挺挺的倒在地上，翻着白眼，眨眼气绝而亡！<br />
　　尼玛，秒杀！<br />
　　眼观此景的大伙齐齐撒了一波冷颤！<br />
　　虽然大伙不清楚这鬼官的具体修为，但能贴身跟在欧阳沐身边的人，实力岂会差！<br />
　　但他却是在一个照面之下直接被对方虐杀，轻松得有如拍死一只蚂蚁一般！<br />
　　这只能说明一点，双方的实力完全不在一个层次上！<br />
　　很显而易见的道理！<br />
　　而这道理像一根巨刺一样扎进大伙天灵盖，只因为，谁都有可能在下一秒成为被其虐杀的对象！<br />
　　恐惧，像蝗虫一样袭来，迅速吞噬掉大伙的身心！<br />
　　欧阳沐脸沉似寒冰，狠辣的个性再一次体现无遗，一声冷喝：“杀！”<br />
　　那三个僵住的鬼官回过神来，再度扑向对方。<br />
　　而同时，欧阳沐回身望向杀手组织的几位大佬，不容质疑道：“四位，叫你们的人上吧，生死一线，要么胜，要么亡！”<br />
　　几位大当家一阵发愣，当然都明白这个道理，可有胜的机会吗？<br />
　　柏杨是个狠角，知道越犹豫越没机会，所以，当即下了命令，风无痕和另一个杀手得命，纵身扑向战场。<br />
　　有柏杨带头，宋当家和张天佑立即效仿，手下四人齐齐扑向星辰阁为首的那人。<br />
　　有意思的是，下完命令以后，三人才惊觉自己是不是太冲动了，明明叶凡和刺客都没有动，干吗自己打头阵。<br />
　　几位大佬的视线及欧阳沐的目光全数落在叶凡和万泽身上，其中意思，不用说也能明白。<br />
　　叶凡暗骂了一句：“你大爷的！”<br />
　　依他的判断，自己这方的胜率极小，如果实打实硬拼的话，人数和硬实力都绝对盖过对方，可对方四人全都修炼了诡异步法，一动一闪都快得出奇，导致自己这方的人根本就抓不住四人的身影，纵有满身力气和斗志，却不知往哪里使。<br />
　　最重要的是，对方四人都已经突破了曲径境，随时可以开启体内秘境，随时都能爆发出恐怖的速度和力量……<br />
　　叶凡本身就是曲径境界的人，最是清楚秘境力量的恐怖，如此一来，自己这方的胜率接近于无。<br />
　　而且，星辰阁为首那人的实力，绝不止曲径境，应该已经突破到了通幽境。<br />
　　通幽境啊，三四个曲径境都未必干得过一个通幽境，怎么玩！？<br />
　　根本就没法玩，一旦对方开启秘境，随之而来的，绝对是一场血雨腥风的杀戮！<br />
　　所以，叶凡真心不想上，甚至巴不得立即闪人，躲得越远越好。<br />
　　可叶凡又不想看到这些被称之为“队友”，实际上没半点队友情谊的人去送死。<br />
　　大爷的，试一试，不行就跑！<br />
　　叶凡暗骂了一声，向万泽使了一个眼色，扑向战团。<br />
　　不过，他可不会傻乎乎的往前冲，而是和万泽在外围游走，图的是低调和抓时机致命一击。<br />
　　只可惜，根本就没有机会。<br />
　　因为，两人刚靠近战团，星辰阁为首那人的视线则有意无意的关照着两人，不止这样，还在向两人靠近！<br />
　　尼玛，这分明是想杀自己和万泽。<br />
　　叶凡脸皮直跳，心知先前自己掩盖气息的行为并没能骗过对方，已经被对方盯上了。<br />
　　怎么办？<br />
　　正是这时，欧阳沐出动了！<br />
